customer_id,customer_name,email,registration_date,customer_type
CUST0044,Eve Garcia,evegarcia9226@email.com,2025-09-27,REGULAR
CUST0045,Eve Davis,evedavis6225@email.com,2025-08-19,PREMIUM
CUST0046,Alice Martinez,alicemartinez8331@email.com,2026-06-05,VIP
CUST0047,Frank Garcia,frankgarcia2066@email.com,2026-06-12,VIP
CUST0048,Henry Johnson,henryjohnson9527@email.com,2026-05-29,VIP
CUST0049,Jane Johnson,janejohnson8645@email.com,2026-05-28,REGULAR
CUST0050,Henry Rodriguez,henryrodriguez7716@email.com,2025-12-31,PREMIUM
CUST0051,Alice Miller,alicemiller9790@email.com,2025-10-22,VIP
CUST0052,Diana Davis,dianadavis3304@email.com,2025-10-21,PREMIUM
CUST0053,John Martinez,johnmartinez6560@email.com,2026-01-11,VIP
CUST0054,Henry Garcia,henrygarcia1087@email.com,2026-01-25,REGULAR
CUST0055,Diana Jones,dianajones7794@email.com,2025-09-30,REGULAR
CUST0056,Diana Brown,dianabrown5819@email.com,2025-09-25,PREMIUM
CUST0057,Grace Smith,gracesmith4845@email.com,2026-06-06,REGULAR
CUST0058,Alice Johnson,alicejohnson6563@email.com,2025-09-17,PREMIUM
CUST0059,Jane Williams,janewilliams6273@email.com,2026-01-06,PREMIUM
CUST0060,Henry Davis,henrydavis6918@email.com,2026-04-29,REGULAR
CUST0061,Henry Smith,henrysmith9318@email.com,2025-09-25,VIP
CUST0062,John Johnson,johnjohnson7651,2026-02-28,PREMIUM
CUST0063,Jane Brown,janebrown2349@email.com,2025-09-08,PREMIUM
CUST0064,Diana Johnson,dianajohnson9769@email.com,2026-05-26,PREMIUM
CUST0065,Diana Rodriguez,dianarodriguez5017@email.com,2025-09-04,VIP
CUST0066,Eve Rodriguez,everodriguez4850@email.com,2026-05-06,VIP
CUST0067,Eve Brown,evebrown7492@email.com,2025-11-08,PREMIUM
CUST0068,Jane Davis,janedavis5134@email.com,2025-12-09,PREMIUM
CUST0069,Jane Williams,janewilliams1411@email.com,2025-11-12,REGULAR
CUST0070,Bob Smith,bobsmith8311@email.com,2025-11-13,REGULAR
CUST0071,Henry Rodriguez,henryrodriguez5223@email.com,2025-09-11,PREMIUM
CUST0072,Bob Davis,bobdavis2380@email.com,2025-10-07,VIP
CUST0073,Alice Garcia,alicegarcia4679@email.com,2026-04-30,REGULAR
CUST0074,Charlie Rodriguez,charlierodriguez8927@email.com,2025-12-06,PREMIUM
CUST0075,Charlie Garcia,charliegarcia9327@email.com,2025-07-27,REGULAR
CUST0076,John Jones,johnjones3455@email.com,2025-08-29,PREMIUM
CUST0077,Jane Smith,janesmith7561@email.com,2025-10-11,VIP
CUST0078,Frank Williams,frankwilliams3835@email.com,2026-05-01,VIP
CUST0079,Bob Williams,bobwilliams4204@email.com,2025-12-11,VIP
CUST0080,Henry Williams,henrywilliams2354@email.com,2025-12-24,VIP
CUST0081,Henry Williams,henrywilliams2111@email.com,2026-01-13,VIP
CUST0082,Alice Williams,alicewilliams7183@email.com,2026-05-15,VIP
CUST0083,Grace Rodriguez,gracerodriguez3462@email.com,2025-07-14,PREMIUM
CUST0084,Alice Brown,alicebrown2512@email.com,2025-09-29,PREMIUM
CUST0085,Diana Brown,dianabrown1053@email.com,2026-03-20,REGULAR
CUST0086,Diana Miller,dianamiller6116@email.com,2025-07-18,PREMIUM
CUST0087,Diana Brown,dianabrown1869@email.com,2025-12-19,VIP
CUST0088,Charlie Johnson,charliejohnson3798@email.com,2026-03-27,PREMIUM
CUST0089,Charlie Johnson,charliejohnson9722@email.com,2025-10-25,PREMIUM
CUST0090,Grace Brown,gracebrown6404@email.com,2026-03-28,REGULAR
CUST0091,Grace Rodriguez,gracerodriguez2088@email.com,2025-09-19,REGULAR
CUST0092,Jane Miller,janemiller8512@email.com,2026-02-09,PREMIUM
CUST0093,Frank Jones,frankjones8797@email.com,2025-11-17,VIP
CUST0094,Frank Rodriguez,frankrodriguez8505@email.com,2026-04-06,VIP
CUST0095,Diana Martinez,dianamartinez8956@email.com,2025-08-20,VIP
CUST0096,John Rodriguez,johnrodriguez8447@email.com,2025-10-26,REGULAR
CUST0097,Frank Smith,franksmith4095@email.com,2025-08-11,REGULAR
CUST0098,Bob Johnson,bobjohnson5286@email.com,2026-02-02,PREMIUM
CUST0099,Diana Brown,dianabrown5059@email.com,2026-05-07,REGULAR
CUST0100,Grace Smith,gracesmith1055@email.com,2025-08-16,VIP
