QUERY 11 RESULTS
================================================================================

customer_id | customer_name | total_value | quartile | quartile_label
CUST0085 | Diana Brown | 5710.06 | 3 | Silver
CUST0097 | Frank Smith | 5562.45 | 3 | Silver
CUST0039 | Alice Johnson | 5551.33 | 3 | Silver
CUST0045 | Eve Davis | 5514.68 | 3 | Silver
CUST0077 | Jane Smith | 5298.16 | 3 | Silver
CUST0098 | Bob Johnson | 5180.2 | 3 | Silver
CUST0044 | Eve Garcia | 5098.15 | 3 | Silver
CUST0043 | John Davis | 5041.56 | 3 | Silver
CUST0089 | Charlie Johnson | 4991.42 | 3 | Silver
CUST0091 | Grace Rodriguez | 4877.48 | 3 | Silver
CUST0012 | Jane Martinez | 4679.49 | 3 | Silver
CUST0068 | Jane Davis | 4572.06 | 3 | Silver
CUST0003 | Jane Martinez | 4387.38 | 3 | Silver
CUST0022 | Alice Jones | 4357.84 | 3 | Silver
CUST0094 | Frank Rodriguez | 4314.97 | 4 | Bronze
CUST0056 | Diana Brown | 4303.07 | 4 | Bronze
CUST0019 | Jane Smith | 4161.38 | 4 | Bronze
CUST0021 | Henry Smith | 4014.0 | 4 | Bronze
CUST0087 | Diana Brown | 3944.33 | 4 | Bronze
CUST0059 | Jane Williams | 3819.37 | 4 | Bronze
CUST0048 | Henry Johnson | 3241.07 | 4 | Bronze
CUST0010 | Henry Williams | 2746.19 | 4 | Bronze
CUST0007 | John Williams | 2624.96 | 4 | Bronze
CUST0020 | Henry Jones | 2620.34 | 4 | Bronze
CUST0072 | Bob Davis | 2425.31 | 4 | Bronze
CUST0016 | Grace Martinez | 2243.49 | 4 | Bronze
CUST0099 | Diana Brown | 2169.31 | 4 | Bronze
CUST0063 | Jane Brown | 2108.73 | 4 | Bronze
CUST0014 | Henry Williams | 2107.09 | 4 | Bronze
CUST0071 | Henry Rodriguez | 1915.04 | 4 | Bronze
CUST0027 | Henry Miller | 1910.25 | 4 | Bronze
CUST0037 | Alice Williams | 948.55 | 4 | Bronze
CUST0086 | Diana Miller | 828.81 | 4 | Bronze
CUST0060 | Henry Davis | 812.07 | 4 | Bronze
CUST0046 | Alice Martinez | 444.29 | 4 | Bronze
CUST0053 | John Martinez | 361.46 | 4 | Bronze
CUST0058 | Alice Johnson | 157.83 | 4 | Bronze
CUST0082 | Alice Williams | 112.34 | 4 | Bronze

[Total rows: 98]
